,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
469,362,29,1,63628,41180,BONNE TERRE,MO,STL,"St. Louis, MO-IL"
477,368,29,1,63389,41180,WINFIELD,MO,STL,"St. Louis, MO-IL"
478,369,29,1,63385,41180,WENTZVILLE,MO,STL,"St. Louis, MO-IL"
479,370,29,1,63385,41180,WENTZVILLE,MO,STL,"St. Louis, MO-IL"
480,371,29,1,63385,41180,WENTZVILLE,MO,STL,"St. Louis, MO-IL"
481,372,29,1,63383,41180,WARRENTON,MO,STL,"St. Louis, MO-IL"
482,373,29,1,63379,41180,TROY,MO,STL,"St. Louis, MO-IL"
483,374,29,1,63379,41180,TROY,MO,STL,"St. Louis, MO-IL"
484,375,29,1,63367,41180,LAKE SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
485,376,29,1,63366,41180,O FALLON,MO,STL,"St. Louis, MO-IL"
486,377,29,1,63366,41180,O FALLON,MO,STL,"St. Louis, MO-IL"
487,378,29,1,63366,41180,O FALLON,MO,STL,"St. Louis, MO-IL"
489,379,29,1,63359,41180,MIDDLETOWN,MO,STL,"St. Louis, MO-IL"
493,381,29,1,63343,41180,ELSBERRY,MO,STL,"St. Louis, MO-IL"
495,382,29,1,63303,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
496,383,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
497,384,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
498,385,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
499,386,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
500,387,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
501,388,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
502,389,29,1,63139,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
503,390,29,1,63137,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
504,391,29,1,63137,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
505,392,29,2,63136,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
506,393,29,1,63136,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
507,394,29,1,63135,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
508,395,29,1,63131,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
509,396,29,1,63129,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
510,397,29,1,63129,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
511,398,29,1,63129,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
512,399,29,1,63125,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
513,400,29,1,63124,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
514,401,29,1,63123,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
515,402,29,1,63122,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
516,403,29,1,63121,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
517,404,29,1,63118,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
518,405,29,1,63118,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
519,406,29,1,63114,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
520,407,29,1,63114,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
521,408,29,1,63114,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
522,409,29,1,63114,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
523,410,29,1,63109,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
524,411,29,1,63107,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
525,412,29,1,63106,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
526,413,29,1,63106,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
527,414,29,1,63105,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
528,415,29,1,63103,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
529,416,29,1,63090,41180,WASHINGTON,MO,STL,"St. Louis, MO-IL"
530,417,29,1,63084,41180,UNION,MO,STL,"St. Louis, MO-IL"
531,418,29,1,63084,41180,UNION,MO,STL,"St. Louis, MO-IL"
533,419,29,1,63080,41180,SULLIVAN,MO,STL,"St. Louis, MO-IL"
534,420,29,1,63069,41180,PACIFIC,MO,STL,"St. Louis, MO-IL"
536,421,29,1,63060,41180,LONEDELL,MO,STL,"St. Louis, MO-IL"
537,422,29,1,63052,41180,IMPERIAL,MO,STL,"St. Louis, MO-IL"
538,423,29,1,63048,41180,HERCULANEUM,MO,STL,"St. Louis, MO-IL"
539,424,29,1,63043,41180,MARYLAND HEIGHTS,MO,STL,"St. Louis, MO-IL"
540,425,29,1,63042,41180,HAZELWOOD,MO,STL,"St. Louis, MO-IL"
541,426,29,1,63041,41180,GRUBVILLE,MO,STL,"St. Louis, MO-IL"
542,427,29,1,63033,41180,FLORISSANT,MO,STL,"St. Louis, MO-IL"
543,428,29,1,63031,41180,FLORISSANT,MO,STL,"St. Louis, MO-IL"
544,429,29,1,63026,41180,FENTON,MO,STL,"St. Louis, MO-IL"
545,430,29,1,63026,41180,FENTON,MO,STL,"St. Louis, MO-IL"
546,431,29,1,63025,41180,EUREKA,MO,STL,"St. Louis, MO-IL"
547,432,29,1,63023,41180,DITTMER,MO,STL,"St. Louis, MO-IL"
549,433,29,1,63021,41180,BALLWIN,MO,STL,"St. Louis, MO-IL"
551,434,29,1,63020,41180,DE SOTO,MO,STL,"St. Louis, MO-IL"
553,435,29,1,63017,41180,CHESTERFIELD,MO,STL,"St. Louis, MO-IL"
554,436,29,1,63011,41180,BALLWIN,MO,STL,"St. Louis, MO-IL"
585,462,18,1,62298,41180,WATERLOO,IL,STL,"St. Louis, MO-IL"
586,463,18,1,62264,41180,NEW ATHENS,IL,STL,"St. Louis, MO-IL"
587,464,18,1,62226,41180,BELLEVILLE,IL,STL,"St. Louis, MO-IL"
588,465,18,1,62223,41180,BELLEVILLE,IL,STL,"St. Louis, MO-IL"
589,466,18,1,62223,41180,BELLEVILLE,IL,STL,"St. Louis, MO-IL"
590,467,18,1,62221,41180,BELLEVILLE,IL,STL,"St. Louis, MO-IL"
591,468,18,1,62218,41180,BARTELSO,IL,STL,"St. Louis, MO-IL"
592,469,18,1,62035,41180,GODFREY,IL,STL,"St. Louis, MO-IL"
593,470,18,1,62025,41180,EDWARDSVILLE,IL,STL,"St. Louis, MO-IL"
595,471,18,1,62017,41180,COFFEEN,IL,STL,"St. Louis, MO-IL"
596,472,18,1,62002,41180,ALTON,IL,STL,"St. Louis, MO-IL"
597,473,18,2,62002,41180,ALTON,IL,STL,"St. Louis, MO-IL"
598,474,18,1,62002,41180,ALTON,IL,STL,"St. Louis, MO-IL"
4900,3692,29,1,63017,41180,CHESTERFIELD,MO,STL,"St. Louis, MO-IL"
4910,3699,29,2,63117,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
4912,3701,29,1,63122,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
4922,3707,29,1,63043,41180,MARYLAND HEIGHTS,MO,STL,"St. Louis, MO-IL"
4924,3709,29,1,63130,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
4940,3721,29,1,63334,41180,BOWLING GREEN,MO,STL,"St. Louis, MO-IL"
4943,3723,29,1,63021,41180,BALLWIN,MO,STL,"St. Louis, MO-IL"
4986,3751,29,1,63628,41180,BONNE TERRE,MO,STL,"St. Louis, MO-IL"
4991,3755,29,1,63377,41180,SILEX,MO,STL,"St. Louis, MO-IL"
5008,3767,29,1,63044,41180,BRIDGETON,MO,STL,"St. Louis, MO-IL"
5015,3772,29,1,63139,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5018,3775,29,1,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
5070,3809,29,1,63376,41180,SAINT PETERS,MO,STL,"St. Louis, MO-IL"
5104,3830,29,1,63138,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5137,3853,29,1,63020,41180,DE SOTO,MO,STL,"St. Louis, MO-IL"
5171,3874,29,1,63031,41180,FLORISSANT,MO,STL,"St. Louis, MO-IL"
5179,3880,29,2,63120,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5181,3882,29,1,63138,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5193,3890,29,1,63368,41180,O FALLON,MO,STL,"St. Louis, MO-IL"
5198,3894,29,1,63011,41180,BALLWIN,MO,STL,"St. Louis, MO-IL"
5219,3907,29,1,63026,41180,FENTON,MO,STL,"St. Louis, MO-IL"
5261,3935,29,1,63376,41180,SAINT PETERS,MO,STL,"St. Louis, MO-IL"
5304,3966,29,1,63114,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5309,3971,29,1,63116,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5319,3980,29,1,63144,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5323,3983,29,1,63136,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5337,3995,29,2,63301,41180,SAINT CHARLES,MO,STL,"St. Louis, MO-IL"
5343,3999,29,1,63021,41180,BALLWIN,MO,STL,"St. Louis, MO-IL"
5345,4001,29,1,63017,41180,CHESTERFIELD,MO,STL,"St. Louis, MO-IL"
5351,4005,29,1,63088,41180,VALLEY PARK,MO,STL,"St. Louis, MO-IL"
5370,4019,29,1,63033,41180,FLORISSANT,MO,STL,"St. Louis, MO-IL"
5382,4027,29,1,63129,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5401,4041,18,1,62236,41180,COLUMBIA,IL,STL,"St. Louis, MO-IL"
5402,4042,18,1,62034,41180,GLEN CARBON,IL,STL,"St. Louis, MO-IL"
5440,4066,29,1,63334,41180,BOWLING GREEN,MO,STL,"St. Louis, MO-IL"
5444,4069,29,1,63109,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5445,4070,29,1,63116,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5458,4077,29,1,63367,41180,LAKE SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5459,4078,29,1,63128,41180,SAINT LOUIS,MO,STL,"St. Louis, MO-IL"
5479,4093,29,1,63343,41180,ELSBERRY,MO,STL,"St. Louis, MO-IL"
5488,4099,29,1,63379,41180,TROY,MO,STL,"St. Louis, MO-IL"
5497,4108,29,1,63028,41180,FESTUS,MO,STL,"St. Louis, MO-IL"
